0-50, State-gov, 77516, AdvancedDegree, 13, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 2174, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 190541, BasicDegree, 9, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 47, United-States, <=50K
50-100, State-gov, 33142, AdvancedDegree, 14, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 60, United-States, >50K
50-100, Self-emp-inc, 139272, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 99999, 0, 60, United-States, >50K
0-50, Private, 234633, BasicDegree, 10, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 238386, BasicDegree, 10, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 460835, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 55, United-States, <=50K
0-50, ?, 243190, BasicDegree, 10, NonMarried, ?, Own-child, Orient, Male, 0, 0, 20, China, <=50K
50-100, Federal-gov, 97855, AdvancedDegree, 14, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 77146, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 1887, 50, United-States, >50K
0-50, Private, 200863, BasicDegree, 10, Married, Craft-repair, Unmarried, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, ?, 41107, AdvancedDegree, 13, Married, ?, Not-in-family, Occident, Male, 0, 0, 40, Canada, <=50K
50-100, Private, 77415, BasicDegree, 7, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 236770, BasicDegree, 10, Married, Sales, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Federal-gov, 173093, BasicDegree, 10, Married, Exec-managerial, Wife, Orient, Female, 0, 1887, 40, Philippines, >50K
0-50, Private, 235124, BasicDegree, 11, Married, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 282604, BasicDegree, 7, Married, Transport-moving, Husband, Occident, Male, 7688, 0, 60, United-States, >50K
0-50, Private, 199288, BasicDegree, 7, Married, Transport-moving, Not-in-family, Occident, Male, 0, 0, 90, United-States, <=50K
50-100, Private, 191659, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 1887, 65, United-States, >50K
0-50, Private, 43285, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 160837, BasicDegree, 7, Married, Machine-op-inspct, Not-in-family, Occident, Male, 0, 0, 40, Guatemala, <=50K
0-50, Private, 230574, BasicDegree, 6, NonMarried, Transport-moving, Own-child, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Private, 176178, BasicDegree, 9, NonMarried, Tech-support, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 116358, AdvancedDegree, 14, Married, Exec-managerial, Husband, Orient, Male, 0, 0, 40, Taiwan, >50K
0-50, ?, 253873, BasicDegree, 10, Married, ?, Not-in-family, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 107787, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, Canada, <=50K
0-50, Self-emp-not-inc, 519627, BasicDegree, 9, NonMarried, Farming-fishing, Not-in-family, Occident, Male, 0, 0, 25, Mexico, <=50K
0-50, Private, 191460, BasicDegree, 7, NonMarried, Other-service, Unmarried, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 198282, AdvancedDegree, 14, Married, Exec-managerial, Husband, Occident, Male, 15024, 0, 40, United-States, >50K
0-50, Private, 214858, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Self-emp-not-inc, 64875, BasicDegree, 11, Married, Tech-support, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 675421, BasicDegree, 5, NonMarried, Handlers-cleaners, Own-child, Occident, Male, 594, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 134768, BasicDegree, 8, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Federal-gov, 207342, BasicDegree, 10, NonMarried, Exec-managerial, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 64830, AdvancedDegree, 12, Married, Exec-managerial, Not-in-family, Occident, Female, 0, 0, 45, United-States, <=50K
0-50, Private, 220066, AdvancedDegree, 13, NonMarried, Exec-managerial, Not-in-family, Occident, Female, 14344, 0, 50, United-States, >50K
0-50, Private, 82521, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 15024, 0, 40, United-States, >50K
0-50, Private, 176711, AdvancedDegree, 13, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 40, England, <=50K
0-50, ?, 217421, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 111900, AdvancedDegree, 12, Married, Sales, Husband, Occident, Male, 0, 0, 30, United-States, <=50K
0-50, ?, 196943, BasicDegree, 10, Married, ?, Own-child, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Private, 481987, BasicDegree, 9, Married, Other-service, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, ?, 184506, BasicDegree, 7, Married, ?, Husband, Occident, Male, 0, 419, 3, United-States, <=50K
0-50, ?, 121313, BasicDegree, 6, NonMarried, ?, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 158420, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 70, United-States, <=50K
0-50, Private, 256000, BasicDegree, 15, Married, Prof-specialty, Husband, Occident, Male, 99999, 0, 60, United-States, >50K
0-50, Private, 183892, BasicDegree, 10, Married, Craft-repair, Husband, Occident, Male, 7298, 0, 44, United-States, >50K
0-50, Private, 42734, BasicDegree, 9, NonMarried, Handlers-cleaners, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 181773, BasicDegree, 9, NonMarried, Transport-moving, Own-child, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 184945, BasicDegree, 10, Married, Other-service, Not-in-family, Orient, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 107248, BasicDegree, 11, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Self-emp-inc, 215382, AdvancedDegree, 14, Married, Prof-specialty, Not-in-family, Occident, Female, 4787, 0, 40, United-States, >50K
0-50, Private, 122999, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 758700, BasicDegree, 5, Married, Handlers-cleaners, Husband, Occident, Male, 3781, 0, 50, Mexico, <=50K
0-50, State-gov, 166606, BasicDegree, 9, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Local-gov, 192060, AdvancedDegree, 13, Married, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 30, ?, <=50K
50-100, ?, 340939, BasicDegree, 5, Married, ?, Husband, Occident, Male, 3471, 0, 40, United-States, <=50K
50-100, Private, 205708, BasicDegree, 10, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, Poland, <=50K
50-100, Private, 67450, AdvancedDegree, 16, NonMarried, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 40, England, <=50K
0-50, Private, 242077, BasicDegree, 9, Married, Sales, Not-in-family, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 129573, BasicDegree, 9, NonMarried, Sales, Not-in-family, Orient, Female, 0, 0, 44, United-States, <=50K
50-100, Private, 181132, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, England, >50K
0-50, Private, 212302, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 83411, BasicDegree, 10, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 1408, 40, United-States, <=50K
0-50, ?, 148751, BasicDegree, 10, NonMarried, ?, Not-in-family, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 317681, BasicDegree, 7, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 10, United-States, <=50K
0-50, ?, 103986, BasicDegree, 9, NonMarried, ?, Not-in-family, Occident, Male, 0, 1590, 40, United-States, <=50K
50-100, Private, 30602, BasicDegree, 4, Married, Other-service, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 172893, BasicDegree, 10, NonMarried, Exec-managerial, Own-child, Occident, Female, 0, 0, 30, United-States, <=50K
50-100, Self-emp-inc, 211804, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 15024, 0, 50, United-States, >50K
0-50, Self-emp-not-inc, 312055, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 65390, AdvancedDegree, 13, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 200500, BasicDegree, 4, Married, Transport-moving, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Local-gov, 241962, AdvancedDegree, 13, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-inc, 78530, BasicDegree, 9, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 65, Canada, >50K
0-50, Private, 189950, AdvancedDegree, 13, NonMarried, Prof-specialty, Not-in-family, Occident, Male, 0, 0, 55, United-States, <=50K
0-50, Private, 111387, BasicDegree, 10, Married, Handlers-cleaners, Husband, Occident, Male, 0, 1579, 40, United-States, <=50K
0-50, Private, 241951, BasicDegree, 9, NonMarried, Handlers-cleaners, Not-in-family, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Private, 343059, BasicDegree, 10, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 302465, BasicDegree, 8, NonMarried, Machine-op-inspct, Not-in-family, Occident, Male, 0, 1741, 40, United-States, <=50K
50-100, Private, 156843, AdvancedDegree, 14, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 1564, 54, United-States, >50K
0-50, ?, 79728, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 55284, BasicDegree, 9, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 509364, BasicDegree, 9, Married, Machine-op-inspct, Not-in-family, Occident, Male, 0, 0, 30, United-States, <=50K
0-50, State-gov, 117927, BasicDegree, 10, NonMarried, Adm-clerical, Not-in-family, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 137651, BasicDegree, 10, NonMarried, Machine-op-inspct, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 131060, BasicDegree, 4, Married, Other-service, Husband, Occident, Male, 0, 0, 25, United-States, <=50K
50-100, Private, 346963, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Private, 183611, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 3137, 0, 50, United-States, <=50K
0-50, Private, 134737, BasicDegree, 11, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 36503, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 250121, BasicDegree, 7, Married, Other-service, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 330535, BasicDegree, 9, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 3325, 0, 40, United-States, <=50K
0-50, Private, 387776, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 41474, BasicDegree, 6, Married, Other-service, Husband, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Local-gov, 318972, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 65, United-States, <=50K
0-50, Private, 86143, BasicDegree, 10, NonMarried, Exec-managerial, Own-child, Orient, Male, 0, 0, 40, Philippines, <=50K
50-100, Private, 181139, BasicDegree, 10, NonMarried, Farming-fishing, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 326232, AdvancedDegree, 13, Married, Exec-managerial, Unmarried, Occident, Male, 0, 2547, 50, United-States, >50K
0-50, Local-gov, 153976, AdvancedDegree, 14, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Self-emp-not-inc, 59469, BasicDegree, 5, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Private, 127139, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 136343, BasicDegree, 9, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 350624, BasicDegree, 8, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, ?, 177351, AdvancedDegree, 13, Married, ?, Husband, Occident, Male, 0, 2174, 40, United-States, >50K
50-100, Private, 166149, BasicDegree, 9, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 2206, 30, United-States, <=50K
0-50, Private, 121523, BasicDegree, 7, Married, Transport-moving, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Self-emp-not-inc, 267396, AdvancedDegree, 13, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 83045, BasicDegree, 5, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 160449, BasicDegree, 9, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 44, United-States, >50K
50-100, Self-emp-inc, 124137, BasicDegree, 15, Married, Prof-specialty, Husband, Occident, Male, 0, 2415, 35, Greece, >50K
0-50, ?, 287681, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Male, 0, 0, 36, United-States, <=50K
0-50, Private, 154194, BasicDegree, 9, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 295127, BasicDegree, 9, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 84, United-States, <=50K
50-100, Private, 240521, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 7298, 0, 40, United-States, >50K
50-100, Self-emp-not-inc, 244087, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 52, United-States, >50K
0-50, Private, 356250, BasicDegree, 15, Married, Sales, Husband, Orient, Male, 0, 0, 35, China, <=50K
0-50, State-gov, 293791, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 44308, AdvancedDegree, 13, NonMarried, Tech-support, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 210527, BasicDegree, 10, NonMarried, Other-service, Unmarried, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, State-gov, 151763, AdvancedDegree, 14, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, State-gov, 267581, BasicDegree, 9, NonMarried, Other-service, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 100188, BasicDegree, 10, NonMarried, Tech-support, Own-child, Occident, Female, 0, 0, 24, United-States, <=50K
0-50, Self-emp-inc, 111746, BasicDegree, 10, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 171091, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 355645, BasicDegree, 5, Married, Machine-op-inspct, Husband, Orient, Male, 0, 0, 20, Trinadad&Tobago, <=50K
50-100, Local-gov, 137678, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 70894, AdvancedDegree, 12, NonMarried, Craft-repair, Other-relative, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 171306, BasicDegree, 9, NonMarried, Sales, Own-child, Occident, Male, 0, 0, 3, United-States, <=50K
0-50, Private, 100997, BasicDegree, 10, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 63921, BasicDegree, 3, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Private, 32897, BasicDegree, 9, Married, Other-service, Not-in-family, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Local-gov, 251854, BasicDegree, 9, NonMarried, Protective-serv, Not-in-family, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 345121, BasicDegree, 6, Married, Other-service, Own-child, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 86220, AdvancedDegree, 13, Married, Sales, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 172845, BasicDegree, 11, NonMarried, Other-service, Unmarried, Occident, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 171398, BasicDegree, 6, NonMarried, Sales, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 174391, BasicDegree, 9, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 207058, BasicDegree, 9, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 37, United-States, <=50K
0-50, Private, 291251, BasicDegree, 9, Married, Machine-op-inspct, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 224377, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 105813, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 180916, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 38, United-States, <=50K
0-50, Self-emp-not-inc, 122749, BasicDegree, 11, Married, Craft-repair, Own-child, Occident, Male, 0, 0, 20, United-States, <=50K
0-50, Private, 31069, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 4386, 0, 40, United-States, >50K
0-50, Self-emp-not-inc, 284343, AdvancedDegree, 12, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 319371, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 15024, 0, 40, United-States, >50K
0-50, Private, 174224, BasicDegree, 11, Married, Protective-serv, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
50-100, ?, 183958, BasicDegree, 9, Married, ?, Husband, Occident, Male, 0, 0, 8, United-States, <=50K
0-50, Private, 127772, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 3103, 0, 44, United-States, >50K
0-50, Private, 80651, BasicDegree, 9, Married, Machine-op-inspct, Not-in-family, Occident, Female, 0, 0, 55, United-States, <=50K
0-50, Private, 62793, BasicDegree, 9, Married, Sales, Other-relative, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 191712, AdvancedDegree, 13, Married, Sales, Not-in-family, Occident, Male, 0, 1590, 40, United-States, <=50K
0-50, Self-emp-not-inc, 237532, BasicDegree, 9, Married, Sales, Wife, Orient, Female, 0, 0, 54, Dominican-Republic, >50K
50-100, Federal-gov, 20179, AdvancedDegree, 14, Married, Tech-support, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 311376, AdvancedDegree, 13, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 432565, BasicDegree, 11, Married, Tech-support, Other-relative, Occident, Female, 0, 0, 40, Canada, >50K
0-50, Self-emp-inc, 329980, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 2415, 60, United-States, >50K
0-50, Self-emp-not-inc, 125190, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 342946, BasicDegree, 7, NonMarried, Transport-moving, Own-child, Occident, Female, 0, 0, 38, United-States, <=50K
0-50, ?, 219835, BasicDegree, 11, NonMarried, ?, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 123429, BasicDegree, 6, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 69209, AdvancedDegree, 13, Married, Machine-op-inspct, Husband, Occident, Male, 3818, 0, 30, United-States, <=50K
50-100, Private, 66356, BasicDegree, 9, Married, Handlers-cleaners, Unmarried, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 195897, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Self-emp-inc, 153132, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 7688, 0, 52, United-States, >50K
0-50, Private, 230875, BasicDegree, 7, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 92298, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 10, United-States, <=50K
0-50, Private, 185145, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 297296, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, ?, 164849, BasicDegree, 5, Married, ?, Husband, Orient, Male, 1409, 0, 5, United-States, <=50K
50-100, Private, 145214, BasicDegree, 9, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 242341, BasicDegree, 4, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 240542, BasicDegree, 10, Married, Sales, Unmarried, Occident, Female, 0, 0, 48, United-States, <=50K
0-50, Private, 104772, BasicDegree, 9, Married, Craft-repair, Unmarried, Occident, Male, 0, 0, 48, United-States, <=50K
50-100, ?, 152802, BasicDegree, 10, Married, ?, Husband, Occident, Male, 0, 0, 8, United-States, <=50K
0-50, Private, 181666, BasicDegree, 9, NonMarried, Handlers-cleaners, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 415520, BasicDegree, 7, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 20, United-States, <=50K
0-50, Private, 258761, BasicDegree, 9, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Private, 88842, AdvancedDegree, 13, Married, Transport-moving, Husband, Occident, Male, 7298, 0, 40, United-States, >50K
0-50, ?, 356717, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 158438, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 60, United-States, >50K
50-100, Private, 206206, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 51816, BasicDegree, 9, NonMarried, Protective-serv, Own-child, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 253814, BasicDegree, 10, NonMarried, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 161745, AdvancedDegree, 13, Married, Exec-managerial, Not-in-family, Occident, Male, 0, 1980, 60, United-States, <=50K
50-100, Private, 162947, BasicDegree, 3, Married, Machine-op-inspct, Not-in-family, Occident, Female, 0, 0, 40, Puerto-Rico, <=50K
50-100, Private, 163027, BasicDegree, 9, Married, Craft-repair, Unmarried, Occident, Female, 0, 0, 50, United-States, <=50K
50-100, Private, 146788, BasicDegree, 4, Married, Transport-moving, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 73309, BasicDegree, 9, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 55, United-States, >50K
0-50, ?, 143867, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 104216, BasicDegree, 15, Married, Sales, Husband, Occident, Male, 0, 0, 25, United-States, <=50K
0-50, Self-emp-not-inc, 345705, BasicDegree, 9, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 133770, AdvancedDegree, 12, Married, Craft-repair, Not-in-family, Orient, Male, 0, 0, 50, United-States, >50K
0-50, Private, 209392, BasicDegree, 9, Married, Protective-serv, Not-in-family, Orient, Male, 0, 0, 35, United-States, <=50K
50-100, Private, 262345, BasicDegree, 10, NonMarried, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 6, United-States, <=50K
0-50, Private, 277545, AdvancedDegree, 13, Married, Adm-clerical, Husband, Orient, Male, 0, 0, 40, ?, >50K
0-50, ?, 174525, BasicDegree, 9, Married, ?, Husband, Occident, Male, 3942, 0, 40, ?, <=50K
0-50, Private, 490332, BasicDegree, 10, Married, Transport-moving, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 211570, BasicDegree, 7, NonMarried, Handlers-cleaners, Other-relative, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 374918, BasicDegree, 8, Married, Other-service, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Private, 106728, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 5178, 0, 60, United-States, >50K
0-50, Private, 173649, BasicDegree, 9, NonMarried, Other-service, Own-child, Orient, Female, 0, 0, 40, ?, <=50K
0-50, Private, 174597, AdvancedDegree, 13, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 233533, BasicDegree, 10, Married, Craft-repair, Husband, Occident, Male, 0, 0, 60, United-States, >50K
50-100, ?, 169785, AdvancedDegree, 14, NonMarried, ?, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 133169, BasicDegree, 11, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 198824, BasicDegree, 11, Married, Other-service, Unmarried, Occident, Female, 0, 0, 35, United-States, <=50K
50-100, Private, 174056, BasicDegree, 4, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 188696, BasicDegree, 11, Married, Machine-op-inspct, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 90692, BasicDegree, 9, Married, Prof-specialty, Unmarried, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 271933, AdvancedDegree, 13, NonMarried, Exec-managerial, Other-relative, Occident, Female, 0, 1741, 45, United-States, <=50K
0-50, Self-emp-not-inc, 102359, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 30, United-States, <=50K
0-50, Federal-gov, 213668, AdvancedDegree, 14, NonMarried, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 56, United-States, >50K
0-50, Private, 294789, BasicDegree, 10, NonMarried, Other-service, Not-in-family, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 157599, BasicDegree, 10, NonMarried, Other-service, Not-in-family, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Local-gov, 134935, BasicDegree, 8, NonMarried, Protective-serv, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 466224, BasicDegree, 10, NonMarried, Sales, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
